6387 .US assets listed, 1158 with a Solana mint
badge          FLWS    FLWSojG1gB5VStYR3Sb4nQFRt43UBYkqih1j2CpVLqgd  $3.04  liq $49,650  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          INTC    iNTCy1qTsUEZQe3DSocLz1ZXXai34Gdw8THQh5rxFaF  $97.17  liq $49,086  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          SNAP    SNAPcESrvnH8yUdgeMF6xm1hym9b6hW6s8YeqeHdZFz  $5.82  liq $47,902  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          SPHR    SPHRp8cZaSQBTp1KMNP4V1X821SXhXWt4Q2yLdyHzju  $143.96  liq $47,384  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          LLY     LLYuwZ33keFihgwoxXsBawy31AiRFLFSva32TYq5TvD  $1133.69  liq $44,132  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          JNJ     JNJg1znKdF712Phe7L7z52AATAvEjEytBdN2w8Lnh1Y  $266.75  liq $39,373  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          BABA    BABANGA4JE7Kkam4nTrALAwAVgsNJUuFJnnkF7S16BZp  $108.70  liq $36,447  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          HIMS    HiMSSzzwkZkrXJ4PGVJRdtfLaANeAztjjcgk5Dxe7Lwx  $27.90  liq $35,828  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          DNUT    DNUTsCvKbKwu2RM72cUuW3TD9YpzArzACcqYQssjPLSk  $3.09  liq $32,978  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          IBM     BMKdM4yUxX12moFqVk195k7coMbaybd4RUKCUdm7D1Sk  $248.26  liq $32,392  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          MGM     MGMuubtUEirmkhfEQdmGUh4pr7HuUdMWcZXFtpPbVJD  $39.23  liq $31,878  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          SHOP    SH55hfaipFAbwT42nQYhRoM5o5t61QpkmJ6p62vXB3m  $129.87  liq $31,759  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          LULU    LULUmT9VMttkfAJE236LXJcYJ2tTP7nunrSWR5G1BdS  $98.30  liq $29,897  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          HTZ     HTZsLG4zqaNvWMwXSLHH3GG5KyJpKwpBRsKVdMG6hvzP  $1.91  liq $29,324  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          GPRO    GPRR2u6NS5yBQHWGauoJ9HXgjrTH8dDsrBfTV5zAYvDH  $1.30  liq $28,055  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          LMT     LMT3i1BHgixFqPUgcyteJhnEz2dpy9i3cYy4pi9BoeV  $531.72  liq $27,647  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          FLY     FLYRq3en8r2Z69gN3KyAnDrvnitEJNkwPYY7favinHeD  $20.38  liq $23,831  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          UPS     UPSqUeMHcWbkdg784XuBUEF9DtySSnW9ur5LAVdcuB9  $102.09  liq $23,575  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          DELL    DELL2aRKQz7DMq5DrKLtkn47ZCnbxXPZXrSGbkmd13wy  $540.78  liq $21,634  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          PFE     PFER6ENqP8r8NF3CqVt4mFowxsin3V5MLidBNQFCC3x  $27.28  liq $19,772  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          RIVN    RcZmt84VMJv9bDhKqmw1uWDahYrUT468VwAChTnfD8p  $15.48  liq $16,598  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          BULL    BULL151gUXcFV5wXEUqu9Am2L7Qt4bTJRLRuAUjkcspC  $8.57  liq $15,130  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          NBIS    NBiSF3UaVUFtRzHwAfxyHsBCAZWGEKnMpewAE4oh7BG  $207.52  liq $15,095  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          QUBT    QUBTAD8C9bMU9LvmMNgKPhrmBGbHvxpu6vfWQtThxxw  $7.85  liq $14,857  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
badge          MRVL    MRVLSjkR2ceUBukujaD3xCyHP1H3B2SzpsNTZF546jo  $216.95  liq $14,400  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CAR     CAR5W1mspo5qPmeWFL6LVyne9gs2whsutKN8PLxbz8BF  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    FNDX    FNDXZzvukiwUhbW9yZdZBrejXEWjirAmpagjD3Rzz8Y7  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    RTX     RTX6nQJSxdgCzmtUGMvK9is32e72yWnpL64os3akquV  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    KWEB    KWEBRX42WyLabS6eUNA8qrrfAfnxvwAiaCRfJXZ6LTm  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    SPAL    SPAL2qXYfYQUhgYCxLYnCAKod5kA6DASVkhmQ3SwKMX  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    SCHG    SCHG7hmjtSbFh1a42ZKchgF6tTKJRRTfisy94GWvFe7  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    PLTR    PLTRu9F7TDWqMePPuRSopGFm2tQbrYtiJsFpHQJjafF  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CPAY    CPAYhsNvTJ8d2SaC7biCUp3RhAiwit3mvqnFTtQDTukT  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    NTNX    NTNXxCQf5StgdV1mXE8bA3j5siZSEVKuRbjEGFVpuYn  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    PNC     PNCUVKEKPi43iQrrDX7gfcq6DLXzW4doCSLicMaawdh  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    LII     LFvT8ySRHjUZWEc1kag77HmRTiUHU2wh9RFG2H4AzyF  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    PGJ     PGJ2xcFcJAhgms9tPhBCxER6GgFxZhDoxvKADRchXuc  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    MLM     MLMoT9ESJSEykb5ghTq8sXhYCrTf5xJVjXSahCbVCQQ  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    VRTX    VRTXPZ4kTYt7pRgkrwGEaK1N4NwKrgSzjjGd9JvVZyo  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CTSH    CTSHVf83aa1BsbpbD7iSsJetjWXSheBnfYF375YymYDv  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    DAR     DARXaiz4dph6bm5qkCUNhBgwMAEMpcjTVVypZpgPuhe7  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    URNM    URNMeMYERPfe9f72js1fHBShyRoLMkNiu2F4JPLffYv  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    EWY     EWY4owSJYMpwN33qGDu5gGxpkQkpMJu8ZUsQJaNZG5dv  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CW      CWUjJvQJmD5sK9a3rMpTdHRBZ8CFHTK3aFcKi3d74tir  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CRDO    CRDaBBjz1Mo3nybiB6TXVtPHZDqbfRUjTa9mEiKa1PLs  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    SDOW    SDzrWu1sNiXVjunEnkyvGng1BUWcUctCbG1852nRAFF  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    PAYO    PAYLNRo28TVSaDmSE1NDGjMya2kQkKxv927UtiK2sM3  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    TSDD    TSDD7jk7n4m1kUjfGnwPgF8p2VtmFqxM2kmvqN9oA3Q  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    SPMD    SPMDqQ3EDWWG8QRtBFE4egrrtLxJcVoFgmjZbagteiM  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    QYLD    QYLDChCRUh9heR4hcgTKrpbrwe6VCBvKjNW5SsfLUQq  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CRH     CRHnec5cFXKvCnuJFkg1eyD3cTcqdvzEBi88kz53AEQJ  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    BTI     BTYrd2E3aDw9brSEdDaysVEx6CsoNCWVWjyJMW2paLSZ  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    MDT     MDTSkWYqUDXmzgh29yzkNBJBRaAaXJAnPeAtuoWqFd6  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    IT      TS8ECpNTnizsZ2GKSNtT3HTooGm5QRqBKXzU3UYgvnn  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CRWV    CRWVJeR2yEZuDUKYfGuKCHvLz8ywn4LGvovHfy5WiFmi  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    VTV     VTVjUBwdKFCVPcHFwfxQoogxAC2sFXtwnXLVRgSACsE  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CHKP    CHKPEajoCFwHbQ5197nKbZi6MnjNpUgkktFWZGNN1NPS  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    EFX     EFXfvjxacoDG722ZKSvS6gJjAVBaFpUSRZkPcLdnW5pb  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    XLB     XLBVGqdVNmWJDF3gi6RfqCszrdB1mLeDr9be9vPRX65  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    GLD     GLDYTiasihdm4kjLCC8PFpjboMSj1UhJ8acmbtjC9DK5  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    BKLN    BKLNYJT2ww2oxid7r3g8Smo4qzM99xofnZQ8XqYvnL6T  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    APPS    APPSSr4pwuwfDCzRaApQ2d8yQ8GGSu9XHFtrLBJ5MVvX  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    SOXL    SoXLRsBe4uEwGPqqXsyaWJe8ecTpf5YMYtFgxwRU88n  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    MDB     MDBQdgGWpGDkQgGynvobL3nywmsYnaUAjQZiXeTzQC2  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    EPAM    EPAMkaYMtas9nVGVeVQH6mZQ24YtohqHm4kFjPpCgded  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    AIPO    AskC6tmfPrCzSprhNsVYPukDvD2TR3cYew4G3XxxKqxE  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    KHC     KHC48yatqRbWR3q2SMZ5vP8TVxTTi5hTAExButVZ5bm  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    DLR     DLRu8ybVVH1waRj8EpA1qJA4MP7icURmKmBL9REJcSGM  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    EIS     EcH8fyGHeFc4W9rdw9FWrZ1578CeVaKm2ZhkzUz22qep  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    EWU     EWUtBFqTVfkqfpEQ4Zf4AhK1PBS41PQibsttUTjZ6vxu  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    VEEV    VEEVNr8spyF8Yrvyk93CT5UHvkVBLGcaUrtAe5nQPkv  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    REGN    REGNoMaVC4JTrrfni4zijJ8JGRWgro53oTua9fF7BR6  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    MMM     MMMaCbUcQHru6SmJgwB8gTKmwBJaBonXJPNDjrUigba  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    CRSP    CRSP2SFJjcifgJJQjHtLrb7KsCNSM4XBtEuMskEUnkLh  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    ZBH     ZBHYqsojw7KV6vgTqdjW9QPBtcMqCtLWFHS8PzMYYJC  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    TGT     TGTz2uEPMxMAp8kKMmtajQU527Vig7zKARWKzfNubbW  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    DXYZ    DXYZK3ECptDq3WMcFj4drpLuyj5R7JFGkwD1Kz5x4T9a  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    PATH    PATHW4rTvrWBFhWDRX2Sorv971MF6cZUPTND9SBeYMj  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    TSEM    TSEMtoh9M9UbHbR9brAcWaecZTadaCQjL9Du6okP4EM  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    STT     STT7o5FkME5SPBZU7b8Se48Ds6Tpdk13FQXSqgdQ7y9  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
needs-badge    MCK     MCKMkx6u6uBEYxCVmKpfgPrTjGJ7eeEBotDVvKmvGuL  no jup price  liq -  MetadataPointer,PermanentDelegate,DefaultAccountState,PausableConfig,ConfidentialTransferMint,TransferHook,ScaledUiAmountConfig,TokenMetadata
